9-Dec-97,AALI,1,Astra Agro Lestari Tbk,Agriculture
3-Apr-02,ABBA,2,Mahaka Media Tbk,"Trade, Service, and Investment"
6-Jul-89,ABDA,3,Asuransi Bina Dana Arta Tbk,Finance
6-Dec-11,ABMM,4,ABM Investama Tbk,"Trade, Service, and Investment"
6-Nov-07,ACES,5,Ace Hardware Indonesia Tbk,"Trade, Service, and Investment"
24-Jun-13,ACST,6,PT Acset Indonusa Tbk.,"Property, Real Estate, and Building Construction"
13-Jun-94,ADES,7,Akasha Wira International Tbk Tbk,Consumer Goods industry
18-Mar-04,ADHI,8,PT Adhi Karya (Persero) Tbk.,"Property, Real Estate, and Building Construction"
31-Mar-04,ADMF,9,Adira Dinamika Multi Finance Tbk,Finance
20-Oct-93,ADMG,10,Polychem Indonesia Tbk,Basic Industry and Chemicals
16-Jul-08,ADRO,11,ADARO ENERGY Tbk,Mining
2-Dec-19,AGAR,12,PT Asia Sejahtera Mina Tbk,"Trade, Service, and Investment"
28-Sep-16,AGII,13,PT Aneka Gas Industri Tbk.,Basic Industry and Chemicals
8-Aug-03,AGRO,14,Bank Rakyat Indonesia Agroniaga Tbk,Finance
22-Dec-14,AGRS,15,PT Bank IBK Indonesia Tbk.,Finance
14-Sep-90,AHAP,16,Asuransi Harta Aman Pratama Tbk,Finance
20-Jul-01,AIMS,17,Akbar Indomakmur Stimec Tbk,"Trade, Service, and Investment"
11-Jun-97,AISA,18,Tiga Pilar Sejahtera Food Tbk,Consumer Goods industry
1-Nov-04,AKKU,19,PT Anugerah Kagum Karya Utama Tbk,"Trade, Service, and Investment"
18-Dec-92,AKPI,20,Argha Karya Prima Ind. Tbk,Basic Industry and Chemicals
3-Oct-94,AKRA,21,PT AKR Corporindo Tbk.,"Trade, Service, and Investment"
13-Jul-01,AKSI,22,PT Majapahit Inti Corpora Tbk.,"Infrastructure, Utilities, and Transportation"
12-Jul-11,ALDO,23,Alkindo Naratama Tbk,Basic Industry and Chemicals
12-Jul-90,ALKA,24,Alakasa Industrindo Tbk,Basic Industry and Chemicals
2-Jan-97,ALMI,25,Alumindo Light Metal Industry Tbk,Basic Industry and Chemicals
10-Jul-12,ALTO,26,Tri Banyan Tirta Tbk,Consumer Goods industry
23-Dec-05,AMAG,27,Asuransi Multi Artha Guna Tbk,Finance
8-Nov-95,AMFG,28,Asahimas Flat Glass Tbk,Basic Industry and Chemicals
10-Dec-15,AMIN,29,PT Ateliers Mecaniques D'Indonesie Tbk.,Miscellaneous Industry
15-Jan-09,AMRT,30,PT Sumber Alfaria Trijaya Tbk.,"Trade, Service, and Investment"
16-Aug-18,ANDI,31,PT Andira Agro Tbk,Agriculture
8-May-13,ANJT,32,PT Austindo Nusantara Jaya Tbk.,Agriculture
27-Nov-97,ANTM,33,Aneka Tambang Tbk.,Mining
10-Jul-02,APEX,34,Apexindo Pratama Duta Tbk,Mining
18-Dec-02,APIC,35,PACIFIC STRATEGIC FINANCIAL Tbk,Finance
29-Oct-13,APII,36,PT Arita Prima Indonesia Tbk.,"Trade, Service, and Investment"
1-May-00,APLI,37,Asiaplast Industries Tbk,Basic Industry and Chemicals
11-Nov-10,APLN,38,Agung Podomoro Land Tbk,"Property, Real Estate, and Building Construction"
